VOIE_ID,VOIE_COMPLET,VOIE_FANTOIR,VOIE_DATECRE,VOIE_REAL,VOIE_OFFICIEL,TENANT,ABOUTISSANT,DENOM_ANNEE,DM_SEANCE,DELIB_NUM,COTE_ARCHIVES,DENOM_ORIGINE,DENOM_N_MOINS_1,DENOM_N_MOINS_1_ANNEE,DENOM_N_MOINS_2,DENOM_N_MOINS_2_ANNEE,LIEN_EXTERNE,OBSERVATIONS,GeoJSON
484,Rue Malakoff,4620,2000-01-01,oui,oui,VALMY (AVENUE DE),BIR-HAKEIM (PLACE),1909,2019-11-02,,Inconnue,La tour Malakoff est une tour de la ville de Sébastopol en Crimée (aujourd'hui en Ukraine) servant de défense militaire.,Eugène Faure (rue),Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Tour_Malakoff,Dénommée en 1855 d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.7373380920248,45.1888581096542],[5.73858825439689,45.1889237674593],[5.73890814290514,45.1889452072262],[5.73966639373254,45.1889831928959],[5.74018402151129,45.1890091213431],[5.7403981768803,45.1889770765632],[5.74070938758598,45.1887787852652]]}"
485,Avenue Malherbe,4630,2000-01-01,oui,oui,JEAN PERROT (AVENUE),MARCELIN BERTHELOT (AVENUE),1954,2019-11-02,,Inconnue,"François de Malherbe, né à Caen vers 1555 et mort à Paris le 16 octobre 1628, poète.",Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73213600825485,45.1688492902837],[5.73238030988612,45.1688231847371],[5.73263749426877,45.1688515431864],[5.73329492906397,45.1689957073895],[5.73405037205035,45.1691637321059],[5.7350870896645,45.1694294722512],[5.73719933742048,45.1699708585577],[5.73817969621083,45.1702221178683],[5.73910505844074,45.1704592724257],[5.73990506332672,45.1706642910497]]}"
486,Rue Mallifaud,4640,2000-01-01,oui,oui,JEAN PERROT (AVENUE),MARECHAL FOCH (BOULEVARD),1927,2019-11-02,,Inconnue,Mallifaud est le nom d'un riverain de cette voie.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72546615780698,45.1813707171565],[5.72589017223506,45.1812650753311],[5.72679908509071,45.181208792229],[5.72748520469308,45.1810790851644],[5.72830126124418,45.1809412176482],[5.72952987448405,45.1807198836416],[5.73102757454028,45.1806293065],[5.73170126856489,45.1806252767322],[5.73287020597666,45.1806182715175],[5.73428526938412,45.1806097776588],[5.73500946430215,45.1806055689409]]}"
487,Rue du Manège,4650,2000-01-01,oui,oui,PAUL VALLIER (PLACE),MARECHAL LYAUTEY (BOULEVARD),1878,2019-11-02,,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,Ainsi dénommée depuis 1896 d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.732493122973,45.1863026451609],[5.73191510067713,45.185508914468],[5.73188935696086,45.1853088153218]]}"
488,Rue Mansart,4660,2000-01-01,oui,oui,MALHERBE (AVENUE),NICOLAS BOILEAU (RUE),1947,2019-11-02,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73910505844074,45.1704592724257],[5.73988931403792,45.1687722396505]]}"
489,Rue des Maquis de l'Oisans,4665,2000-01-01,oui,oui,STALINGRAD (RUE DE),LUCIEN ANDRIEUX (RUE),2004,2004-07-12,,2848W 525,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,Ainsi dénommée depuis 1969 d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.7213510209276,45.1645424205497],[5.72314921744792,45.1645721129267],[5.7239613211675,45.1645960810983]]}"
490,Passage Anthoard,521,2000-01-01,oui,oui,ANTHOARD (RUE),BERRIAT (COURS),2000,2000-01-17,,2519W 37,"Jean-Auguste Adolphe Anthoard, né à Lus-la-Croix-Haute le 3 septembre 1807 et mort à Noyarey le 22 février 1895, homme politique, député de l'Isère et maire de Grenoble à deux reprises.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Adolphe_Anthoard,,"{""type"":""LineString"",""coordinates"":[[5.71193507241799,45.1884692091545],[5.71193768824556,45.1886323972908],[5.71194085367263,45.1888298708813],[5.71194594558771,45.1891475246235]]}"
492,Chemin du Marais,4670,2000-01-01,oui,oui,POTERNE (CHEMIN DE LA),ROBESPIERRE (CHEMIN),Inconnue,2019-11-02,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,"Dénommé avant la révolution, d'après Dreyfus","{""type"":""LineString"",""coordinates"":[[5.75119339677113,45.1759759404139],[5.75136254741366,45.1757894114947],[5.75147756892771,45.1755745428667],[5.75151587409563,45.1754282678398],[5.75158376218365,45.1751690233472],[5.75158010267387,45.1746629714578],[5.75162970425007,45.1746004599532],[5.75165430083438,45.1745203656384],[5.75164383909962,45.1744697307245],[5.75164033538689,45.1744527726948]]}"
493,Rue Marbeuf,4680,2000-01-01,oui,oui,JOSEPH VALLIER (BOULEVARD),PARC SAVANE,1956,2019-11-02,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.70685900789673,45.1764659376342],[5.70690422868777,45.1766141396123],[5.70700441424884,45.1769424819266],[5.70707205660422,45.1771641668675],[5.70724849161235,45.1777599986927],[5.70741682731293,45.178270016648],[5.70767804808583,45.178840628251],[5.70795066971285,45.1793909289886],[5.70828487531349,45.1801015047513]]}"
494,Chemin Marceau,4690,2000-01-01,oui,oui,GRAND CHATELET (AVENUE),WASHINGTON (AVENUE),1888,2019-11-02,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.74813074838054,45.1816798064912],[5.7480444261997,45.1816699459695],[5.74785335994417,45.1816448393338],[5.74783769950674,45.1816426868969],[5.74779444659337,45.1816368406967],[5.7476933762849,45.1816243144487],[5.74754984743314,45.1816064588526],[5.74735048772595,45.1815810541866],[5.7473365113837,45.1815793926348],[5.74712920772512,45.1815531398065],[5.74687770906564,45.1815201671669],[5.74684396794213,45.1815158429075],[5.7467127213365,45.1814989771343],[5.74660700701501,45.1814854153706],[5.74653684452153,45.1814764399926]]}"
